处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,删除全部完全重复记录,5630,5630,0
缺失值填补-Tenure,数值字段缺失使用总体中位数填补,5630,5630,264
缺失值填补-WarehouseToHome,数值字段缺失使用总体中位数填补,5630,5630,251
缺失值填补-HourSpendOnApp,数值字段缺失使用总体中位数填补,5630,5630,255
缺失值填补-OrderAmountHikeFromlastYear,数值字段缺失使用总体中位数填补,5630,5630,265
缺失值填补-CouponUsed,数值字段缺失使用总体中位数填补,5630,5630,256
缺失值填补-OrderCount,数值字段缺失使用总体中位数填补,5630,5630,258
缺失值填补-DaySinceLastOrder,数值字段缺失使用总体中位数填补,5630,5630,307
类别标准化-PreferredLoginDevice:Phone→Mobile Phone,同义类别统一名称,5630,5630,1231
类别标准化-PreferredPaymentMode:COD→Cash on Delivery,同义类别统一名称,5630,5630,365
类别标准化-PreferredPaymentMode:CC→Credit Card,同义类别统一名称,5630,5630,273
类别标准化-PreferedOrderCat:Mobile→Mobile Phone,同义类别统一名称,5630,5630,809
类型转换-Churn,转为int整数类型,5630,5630,0
类型转换-Complain,转为int整数类型,5630,5630,0
