TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,投诉状态,样本提示
0-6个月,0,1027,187,0.18208373904576436,2.627069133398247,无投诉,可观察
0-6个月,1,432,230,0.5324074074074074,2.798611111111111,有投诉,可观察
13-24个月,0,1135,46,0.04052863436123348,3.7894273127753304,无投诉,可观察
13-24个月,1,439,56,0.1275626423690205,3.2710706150341684,有投诉,可观察
24个月以上,0,358,0,0.0,3.810055865921788,无投诉,可观察
24个月以上,1,146,0,0.0,3.3767123287671232,有投诉,可观察
7-12个月,0,1192,74,0.06208053691275168,2.6577181208053693,无投诉,可观察
7-12个月,1,393,83,0.21119592875318066,2.6615776081424936,有投诉,可观察
新用户,0,314,133,0.42356687898089174,1.7484076433121019,无投诉,可观察
新用户,1,194,139,0.7164948453608248,2.118556701030928,有投诉,可观察
